cuda:0 is available
start
is_continuous: False
n_episode: 2000
max_episode_steps: 1000
The shape of an observation:  (4, 84, 84)
the shape of action_space: 5
n_episode :1300, score : -0.052, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :1320, score : -0.054, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1340, score : -0.049, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :1360, score : -0.052, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1380, score : -0.063, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1400, score : -0.077, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1420, score : -0.069, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1440, score : -0.053, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :1460, score : -0.054, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1480, score : -0.046, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1500, score : -0.069, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1520, score : -0.042, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :1540, score : -0.045, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :1560, score : -0.036, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :1580, score : -0.044, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :1600, score : -0.064, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :1620, score : -0.059, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :1640, score : -0.055, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :1660, score : -0.054, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :1680, score : -0.056, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:13
n_episode :1700, score : -0.068, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:14
n_episode :1720, score : -0.065, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:13
n_episode :1740, score : -0.072, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:14
n_episode :1760, score : -0.048, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:14
n_episode :1780, score : -0.050, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:13
n_episode :1800, score : -0.070, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:14
n_episode :1820, score : -0.054, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:14
n_episode :1840, score : -0.061, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:14
n_episode :1860, score : -0.046, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:13
n_episode :1880, score : -0.070, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:14
n_episode :1900, score : -0.059, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:14
n_episode :1920, score : -0.051, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:14
n_episode :1940, score : -0.051, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:15
n_episode :1960, score : -0.069, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:14
n_episode :1980, score : -0.068, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:13
RL end
