cuda:0 is available
start
is_continuous: False
n_episode: 2000
max_episode_steps: 1000
action_space Discrete(5)
The shape of an observation:  (4, 84, 84)
the shape of action_space: 5
n_episode :65, score : -1.286, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :66, score : -1.186, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :67, score : -1.315, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :68, score : -1.353, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :69, score : -1.188, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :70, score : -1.035, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :71, score : -1.074, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :72, score : -1.059, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :73, score : -1.173, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :74, score : -1.365, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :75, score : -1.164, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :76, score : -1.471, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :77, score : -1.362, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :78, score : -1.440, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :79, score : -1.592, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :80, score : -1.315, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :81, score : -1.171, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :82, score : -1.316, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :83, score : -1.087, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :84, score : -1.070, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :85, score : -1.026, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :86, score : -0.278, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :87, score : -1.057, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :88, score : -1.216, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :89, score : -1.069, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :90, score : -1.081, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :91, score : -1.030, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :92, score : -1.045, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :93, score : -0.962, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :94, score : -1.143, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :95, score : -0.857, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :96, score : -1.485, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :97, score : -1.459, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :98, score : -1.008, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :99, score : -0.819, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :100, score : -0.968, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :101, score : -1.326, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :102, score : -1.248, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :103, score : -1.003, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :104, score : -1.351, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :105, score : -1.366, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :106, score : -1.524, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :107, score : -1.177, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :108, score : -1.527, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :109, score : -1.305, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :110, score : -1.107, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :111, score : -1.116, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :112, score : -1.312, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :113, score : -1.136, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :114, score : -1.128, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :115, score : -1.104, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :116, score : -1.000, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :117, score : -1.271, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :118, score : -1.208, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :119, score : -1.301, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :120, score : -1.255, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :121, score : -0.990, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :122, score : -1.330, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :123, score : -0.977, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :124, score : -1.004, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :125, score : -1.043, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :126, score : -1.173, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :127, score : -1.117, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :128, score : -1.422, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :129, score : -1.435, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :130, score : -1.230, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :131, score : -0.735, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :132, score : -0.741, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :133, score : -1.327, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :134, score : -0.990, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :135, score : -1.156, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :136, score : -1.546, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :137, score : -2.383, n_buffer : 50000, eps : 100.0%, step : 993, time : 0:00:12
n_episode :138, score : -1.238, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :139, score : -1.339, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :140, score : -1.368, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :141, score : -1.087, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :142, score : -1.340, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :143, score : -1.207, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :144, score : -1.441, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :145, score : -1.052, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :146, score : -1.195, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :147, score : -1.126, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :148, score : -1.133, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :149, score : -1.018, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :150, score : -0.885, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :151, score : -1.214, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :152, score : -2.356, n_buffer : 50000, eps : 100.0%, step : 853, time : 0:00:11
n_episode :153, score : -1.234, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :154, score : -1.261, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :155, score : -1.276, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :156, score : -1.114, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :157, score : -1.170, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :158, score : -1.395, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :159, score : -0.310, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :160, score : -0.940, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :161, score : -1.386, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :162, score : -1.052, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :163, score : -1.342, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :164, score : -1.167, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
